time,timebound_lower,timebound_upper,CO2,CH4,N2O,aerosol-radiation_interactions,aerosol-cloud_interactions,O3,contrails,land_use,BC_on_snow,H2O_stratospheric,solar,volcanic,aerosol,nonco2wmghg,halogen,anthro,total,minor
1750.5,1750,1751,0,0,0,0,0,0,0,0,0,0,0.02159121,0.234943996,0,0,0,0,0.256535206,0
1751.5,1751,1752,0.001417292,0.00050833,7.45E-05,0.00063088,0.003830106,-0.000441436,0,-0.000102748,-0.000373548,3.45E-05,0.000780029,0.243453584,0.004460986,0.000582811,7.96E-10,0.005577837,0.249811451,-0.000441816
1752.5,1752,1753,0.002834247,0.001016353,0.000148952,0.001155533,0.005575433,-0.000409538,0,-0.000208278,-0.000498196,6.90E-05,-0.009079541,0.240777285,0.006730966,0.001165307,1.59E-09,0.009683466,0.24138121,-0.000637515
1753.5,1753,1754,0.004250863,0.00152407,0.000223415,0.000637431,0.003859007,-0.000148817,0,-0.000316458,-0.000373606,0.000103439,-0.023619287,0.096083654,0.004496438,0.001747487,2.39E-09,0.009759347,0.082223714,-0.000586625
1754.5,1754,1755,0.005667143,0.00203148,0.00029787,-0.000531038,-0.000976127,0.000746417,0,-0.000427292,5.40E-05,0.000137919,-0.042745605,-0.028037303,-0.001507165,0.002329353,3.18E-09,0.007000389,-0.063782518,-0.000235359
1755.5,1755,1756,0.007083086,0.002538584,0.000372317,0.000479028,0.000156222,0.001037109,0,-0.000540779,5.87E-05,0.000172398,-0.052807983,0.108280664,0.00063525,0.002910905,3.98E-09,0.011356707,0.066829389,-0.000309642
1756.5,1756,1757,0.008498691,0.003045384,0.000446755,0.000482264,0.003795751,0.000207768,0,-0.000656862,-0.000398297,0.000206878,-0.05380642,-0.031328236,0.004278015,0.003492143,4.77E-09,0.015628336,-0.06950632,-0.000848281
1757.5,1757,1758,0.00991396,0.003551878,0.000521185,2.72E-05,-0.005437454,0.00275513,0,-0.000775529,0.000820756,0.000241358,-0.029968726,0.19376902,-0.005410262,0.004073068,5.57E-09,0.011618481,0.175418776,0.000286585
1758.5,1758,1759,0.011328892,0.004058068,0.000595607,0.000232809,-0.002010205,0.002334504,0,-0.000896742,0.000409323,0.000275837,-0.009531958,0.23755941,-0.001777396,0.004653681,6.37E-09,0.0163281,0.244355552,-0.000211582
1759.5,1759,1760,0.012743487,0.004563954,0.00067002,-0.000103893,-0.002647809,0.002102206,0,-0.001020472,0.000365449,0.000310317,-0.001700464,0.240744971,-0.002751702,0.005233982,7.16E-09,0.016983268,0.256027775,-0.000344706
1760.5,1760,1761,0.014157747,0.005069537,0.000744425,-0.001037109,-0.00558696,0.002476285,0,-0.001152944,0.000534438,0.000344797,0.004430566,0.086899665,-0.006624069,0.00581397,7.96E-09,0.015550224,0.106880456,-0.000273709
1761.5,1761,1762,0.01557167,0.005574818,0.000818822,-0.000191689,-0.00510281,0.00316028,0,-0.001294102,0.000695488,0.000379276,0.023978101,-1.229424548,-0.005294499,0.006393648,8.75E-09,0.019611761,-1.185834685,-0.000219338
1762.5,1762,1763,0.016985257,0.006079795,0.00089321,-0.00028117,-0.001513442,0.002068421,0,-0.001437682,0.000152341,0.000413756,0.00691106,-0.535311706,-0.001794611,0.006973015,9.55E-09,0.023360497,-0.505040149,-0.000871586
1763.5,1763,1764,0.018398509,0.006584471,0.000967591,-0.000174949,-0.001938801,0.002580641,0,-0.001583703,0.000242396,0.000448236,-0.00932915,0.030602469,-0.00211375,0.007552072,1.03E-08,0.025524401,0.04679772,-0.000893071
1764.5,1764,1765,0.019811425,0.007088846,0.001041962,0.001709443,0.004477556,0.002009343,0,-0.001732112,-0.000292666,0.000482715,-0.017706666,0.197822381,0.006186999,0.008130819,1.11E-08,0.034596524,0.214712239,-0.001542062
1765.5,1765,1766,0.021224006,0.007592919,0.001116326,-0.000471871,-0.004438836,0.003411726,0,-0.001882878,0.000514602,0.000517195,-0.037691016,0.237072134,-0.004910707,0.008709257,1.19E-08,0.0275832,0.226964318,-0.000851082
1766.5,1766,1767,0.022636251,0.008096693,0.001190681,0.000724865,-0.00020087,0.0033575,0,-0.002035964,0.000321248,0.000551675,-0.04981267,-0.24672819,0.000523996,0.009287387,1.27E-08,0.034642093,-0.261898767,-0.001163041
1767.5,1767,1768,0.024048161,0.008600166,0.001265029,0.000590519,-0.000309114,0.003553319,0,-0.002191352,0.000360954,0.000586154,-0.0186115,0.004110759,0.000281405,0.009865208,1.35E-08,0.03650385,0.022003109,-0.001244243
1768.5,1768,1769,0.025459737,0.009103339,0.001339367,-0.000844864,-0.011693504,0.005778543,0,-0.002349018,0.001453752,0.000620634,0.019999951,0.19850794,-0.012538368,0.010442721,1.43E-08,0.028868,0.247375891,-0.000274633
1769.5,1769,1770,0.026870978,0.009606214,0.001413698,-0.000422897,-0.006040771,0.004616436,0,-0.002508931,0.000765018,0.000655114,0.046988964,0.076546898,-0.006463668,0.011019927,1.51E-08,0.034954874,0.158490736,-0.001088799
