time,timebound_lower,timebound_upper,CO2,CH4,N2O,aerosol-radiation_interactions,aerosol-cloud_interactions,O3,contrails,land_use,BC_on_snow,H2O_stratospheric,solar,volcanic,aerosol,nonco2wmghg,halogen,anthro,total,minor
1750.5,1750,1751,0,0,0,0,0,0,0,0,0,0,0.010893838,0.175711988,0,0,0,0,0.196235495,0
1751.5,1751,1752,0.001246897,0.000406138,6.41E-05,-0.000405383,0.000303412,-0.000662158,0,-0.000255458,-0.00083803,-8.47E-08,0.000312382,0.182076214,0.000550782,0.000480141,3.73E-10,0.001566077,0.189676397,-0.000938455
1752.5,1752,1753,0.002493497,0.000812031,0.000128178,-0.000404578,0.000422575,-0.00061431,0,-0.000509766,-0.001117671,-1.69E-07,-0.013644349,0.18007464,0.000986856,0.000960027,7.46E-10,0.003787459,0.181876006,-0.001337444
1753.5,1753,1754,0.0037398,0.001217678,0.000192257,-0.000406104,0.000309057,-0.000223226,0,-0.000763081,-0.000838161,-2.54E-07,-0.035419916,0.071859891,0.000562309,0.001439659,1.12E-09,0.005602635,0.055757257,-0.001245905
1754.5,1754,1755,0.004985806,0.001623081,0.000256328,-0.00092102,-0.009262462,0.000373738,0,-0.001015318,-1.44E-07,-3.39E-07,-0.06407617,-0.0350894,-0.009805896,0.001919038,1.49E-09,-0.001403041,-0.088282358,-0.000838405
1755.5,1755,1756,0.006231515,0.00202824,0.000320392,0.000198321,-0.001544599,0.00051929,0,-0.001266882,-1.56E-07,-4.24E-07,-0.079164061,0.080981899,-0.001080831,0.002398163,1.87E-09,0.009245724,0.02948781,-0.001054755
1756.5,1756,1757,0.007476928,0.002433155,0.000384449,-0.000541447,0.000281489,0.000104031,0,-0.00151784,-0.000893553,-5.08E-07,-0.080675767,-0.039208088,0.000381623,0.002877036,2.24E-09,0.011160585,-0.097063172,-0.001873661
1757.5,1757,1758,0.008722045,0.002837826,0.000448499,-0.001589397,-0.026327065,0.001379519,0,-0.001768552,-2.18E-06,-5.93E-07,-0.045052648,0.144917684,-0.02634684,0.003355655,2.61E-09,-0.009446284,0.119122089,-0.001037056
1758.5,1758,1759,0.009966865,0.003242254,0.000512542,-0.000497828,-0.01122052,0.001168908,0,-0.002016972,-1.09E-06,-6.78E-07,-0.014737788,0.177668027,-0.01102973,0.003834024,2.99E-09,0.006787972,0.182393224,-0.001433121
1759.5,1759,1760,0.01121139,0.00364644,0.000576577,-0.000859748,-0.012722861,0.001052594,0,-0.002266092,-9.73E-07,-7.63E-07,-0.004183723,0.180050473,-0.012864763,0.00431214,3.36E-09,0.006571259,0.193287343,-0.001676529
1760.5,1760,1761,0.012455619,0.004050383,0.000640606,-0.002572103,-0.030423803,0.001239899,0,-0.00252393,-1.42E-06,-8.47E-07,0.000998,0.064991288,-0.0315363,0.004790004,3.73E-09,-0.009556673,0.074023996,-0.00178372
1761.5,1761,1762,0.013699552,0.004454084,0.000704627,-0.001622578,-0.023905737,0.001582381,0,-0.002789027,-1.85E-06,-9.32E-07,0.011745482,-1.538656226,-0.024136593,0.005267618,4.10E-09,0.000455247,-1.498225855,-0.001917395
1762.5,1762,1763,0.014943189,0.004857543,0.000768641,-0.000686064,-0.007755702,0.001035677,0,-0.003057159,-4.05E-07,-1.02E-06,0.002240721,-0.669956274,-0.008056417,0.005744982,4.48E-09,0.016407736,-0.64065974,-0.002549206
1763.5,1763,1764,0.016186531,0.005260762,0.000832648,-0.000692624,-0.008828627,0.00129215,0,-0.003323899,-6.45E-07,-1.10E-06,-0.015075575,0.022887244,-0.009027378,0.006222085,4.85E-09,0.017765935,0.034213516,-0.002708446
1764.5,1764,1765,0.017429578,0.005663739,0.000896648,0.000129563,0.000335678,0.001006096,0,-0.003593368,-0.000656577,-1.19E-06,-0.027276766,0.147949148,0.001379264,0.006698951,5.22E-09,0.028201715,0.165634488,-0.003517913
1765.5,1765,1766,0.01867233,0.006066476,0.000960641,-0.001661809,-0.021098582,0.001708282,0,-0.003861023,-1.37E-06,-1.27E-06,-0.056917878,0.177303599,-0.021599225,0.007175594,5.60E-09,0.010366053,0.160495478,-0.002962276
1766.5,1766,1767,0.019914787,0.006468974,0.001024626,0.000150646,-0.008496019,0.001681131,0,-0.004130025,-8.55E-07,-1.36E-06,-0.075014627,-0.308786632,-0.007785824,0.007651992,5.97E-09,0.025609536,-0.330004988,-0.003356483
